Industry_code;Industry_name;Work_type;Year;Turnover_mDKK
41000;Construction of buildings;New buildings and extensions;2015;41147
41000;Construction of buildings;New buildings and extensions;2016;47689
41000;Construction of buildings;New buildings and extensions;2017;55647
41000;Construction of buildings;New buildings and extensions;2018;58247
41000;Construction of buildings;New buildings and extensions;2019;63452
41000;Construction of buildings;New buildings and extensions;2020;64667
41000;Construction of buildings;New buildings and extensions;2021;71772
41000;Construction of buildings;New buildings and extensions;2022;74987
41000;Construction of buildings;New buildings and extensions;2023;73796
41000;Construction of buildings;New buildings and extensions;2024;71095
41000;Construction of buildings;New buildings and extensions_housing;2015;25896
41000;Construction of buildings;New buildings and extensions_housing;2016;27795
41000;Construction of buildings;New buildings and extensions_housing;2017;31897
41000;Construction of buildings;New buildings and extensions_housing;2018;35751
41000;Construction of buildings;New buildings and extensions_housing;2019;38814
41000;Construction of buildings;New buildings and extensions_housing;2020;45785
41000;Construction of buildings;New buildings and extensions_housing;2021;49011
41000;Construction of buildings;New buildings and extensions_housing;2022;41873
41000;Construction of buildings;New buildings and extensions_housing;2023;40109
41000;Construction of buildings;New buildings and extensions_housing;2024;37677
41000;Construction of buildings;New buildings and extensions_other;2015;15251
41000;Construction of buildings;New buildings and extensions_other;2016;19894
41000;Construction of buildings;New buildings and extensions_other;2017;23750
41000;Construction of buildings;New buildings and extensions_other;2018;22496
41000;Construction of buildings;New buildings and extensions_other;2019;24638
41000;Construction of buildings;New buildings and extensions_other;2020;18882
41000;Construction of buildings;New buildings and extensions_other;2021;22761
41000;Construction of buildings;New buildings and extensions_other;2022;33114
41000;Construction of buildings;New buildings and extensions_other;2023;33687
41000;Construction of buildings;New buildings and extensions_other;2024;33418
41000;Construction of buildings;Repair and maintenance_major repair_housing;2015;5686
41000;Construction of buildings;Repair and maintenance_major repair_housing;2016;9108
41000;Construction of buildings;Repair and maintenance_major repair_housing;2017;9009
41000;Construction of buildings;Repair and maintenance_major repair_housing;2018;10729
41000;Construction of buildings;Repair and maintenance_major repair_housing;2019;10412
41000;Construction of buildings;Repair and maintenance_major repair_housing;2020;7443
41000;Construction of buildings;Repair and maintenance_major repair_housing;2021;9409
41000;Construction of buildings;Repair and maintenance_major repair_housing;2022;10458
41000;Construction of buildings;Repair and maintenance_major repair_housing;2023;10715
41000;Construction of buildings;Repair and maintenance_major repair_housing;2024;9563
41000;Construction of buildings;Repair and maintenance_major repair_other;2015;5126
41000;Construction of buildings;Repair and maintenance_major repair_other;2016;5317
41000;Construction of buildings;Repair and maintenance_major repair_other;2017;3234
41000;Construction of buildings;Repair and maintenance_major repair_other;2018;3149
41000;Construction of buildings;Repair and maintenance_major repair_other;2019;2933
41000;Construction of buildings;Repair and maintenance_major repair_other;2020;5453
41000;Construction of buildings;Repair and maintenance_major repair_other;2021;4611
41000;Construction of buildings;Repair and maintenance_major repair_other;2022;3463
41000;Construction of buildings;Repair and maintenance_major repair_other;2023;3280
41000;Construction of buildings;Repair and maintenance_major repair_other;2024;2692
41000;Construction of buildings;Repair and maintenance_maintenance_housing;2015;1157
41000;Construction of buildings;Repair and maintenance_maintenance_housing;2016;1360
41000;Construction of buildings;Repair and maintenance_maintenance_housing;2017;1012
41000;Construction of buildings;Repair and maintenance_maintenance_housing;2018;1202
41000;Construction of buildings;Repair and maintenance_maintenance_housing;2019;1260
41000;Construction of buildings;Repair and maintenance_maintenance_housing;2020;3287
41000;Construction of buildings;Repair and maintenance_maintenance_housing;2021;1755
41000;Construction of buildings;Repair and maintenance_maintenance_housing;2022;1908
41000;Construction of buildings;Repair and maintenance_maintenance_housing;2023;1934
41000;Construction of buildings;Repair and maintenance_maintenance_housing;2024;3846
41000;Construction of buildings;Repair and maintenance_maintenance_other;2015;1179
41000;Construction of buildings;Repair and maintenance_maintenance_other;2016;858
41000;Construction of buildings;Repair and maintenance_maintenance_other;2017;1048
41000;Construction of buildings;Repair and maintenance_maintenance_other;2018;1359
41000;Construction of buildings;Repair and maintenance_maintenance_other;2019;1934
41000;Construction of buildings;Repair and maintenance_maintenance_other;2020;1310
41000;Construction of buildings;Repair and maintenance_maintenance_other;2021;2309
41000;Construction of buildings;Repair and maintenance_maintenance_other;2022;1798
41000;Construction of buildings;Repair and maintenance_maintenance_other;2023;2046
41000;Construction of buildings;Repair and maintenance_maintenance_other;2024;2013
41000;Construction of buildings;Civil engineering;2015;6705
